"row","Id","Attrition","Age","CivilStatus","Education","Salary","ContractType","MonthsAtCompany","NumSalaryChanges","NumJobPositionChanges","HadPromotion","Occupation","Insalubrity","Periculosity","UnionMember","Stability","HomeDistance","HomeTime","HasDependents"
"1843",3992,"No",38,"United","6",22.47,"10",80,0,0,"No","1","No","No","No","No",16,21,"Yes"
"1844",3427,"No",37,"United","5",19.28,"10",85,1,0,"No","1","No","No","No","Yes",7,12,"Yes"
"1845",3453,"No",28,"United","3",5.47,"1",86,1,0,"No","13","Yes","No","No","Yes",1,4,"Yes"
"1846",3472,"No",31,"Single","6",19.32,"10",86,0,0,"No","21","No","No","Yes","Yes",0,3,"Yes"
"1847",3486,"No",28,"Single","5",6.27,"1",85,1,1,"No","21","No","No","Yes","No",1,5,"No"
"1848",3477,"No",42,"Single","2",3.08,"1",86,1,0,"No","27","No","No","No","No",1,4,"No"
"1849",3494,"No",27,"Single","3",4.01,"1",85,2,1,"No","5","Yes","No","No","No",8,15,"No"
"1850",3491,"No",31,"Single","5",27.17,"10",85,0,0,"No","23","No","No","Yes","Yes",2,7,"Yes"
"1851",3514,"No",41,"United","5",21.12,"10",85,0,1,"No","23","No","No","Yes","Yes",1,5,"Yes"
"1852",3516,"No",42,"Single","5",21.12,"10",85,0,1,"No","23","No","No","Yes","No",8,19,"No"
"1853",3416,"No",56,"Desunited","2",9.46,"1",87,1,0,"No","2","Yes","No","No","No",19,26,"No"
"1854",3474,"No",29,"United","5",23.98,"10",85,2,0,"No","21","No","No","Yes","Yes",2,5,"Yes"
"1855",3473,"No",27,"Single","5",32.92,"10",85,2,2,"No","1","No","No","Yes","Yes",3,9,"Yes"
"1856",3476,"No",33,"Single","5",32.92,"10",85,1,2,"Yes","23","No","No","Yes","Yes",2,6,"Yes"
"1857",3532,"No",44,"United","5",30.95,"10",85,0,0,"No","22","No","No","No","No",3,9,"No"
"1858",3533,"No",56,"Single","5",30.95,"10",85,0,2,"No","22","No","No","No","No",2,7,"No"
"1859",3539,"No",39,"United","5",30.95,"10",85,0,0,"No","22","No","No","No","No",2,8,"Yes"
"1860",3562,"No",62,"United","2",6.68,"1",84,2,0,"No","19","Yes","No","No","No",11,18,"No"
"1861",3593,"No",28,"Single","3",5.47,"1",84,0,0,"No","9","Yes","No","No","Yes",7,15,"Yes"
"1862",3658,"No",34,"United","5",19.47,"10",84,0,0,"No","23","No","No","No","Yes",10,22,"Yes"
"1863",3571,"No",26,"Single","3",5.47,"1",84,1,0,"No","13","Yes","No","No","No",5,13,"No"
